---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 17:06:42 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
capture.afpacket.poll_data                                   | Total                     | 224
decoder.pkts                                                 | Total                     | 404
decoder.bytes                                                | Total                     | 28724
decoder.ipv4                                                 | Total                     | 390
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 404
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 390
tcp.syn                                                      | Total                     | 104
tcp.synack                                                   | Total                     | 40
tcp.rst                                                      | Total                     | 105
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 71
decoder.max_pkt_size                                         | Total                     | 150
tcp.active_sessions                                          | Total                     | 104
flow.total                                                   | Total                     | 106
flow.active                                                  | Total                     | 106
flow.tcp                                                     | Total                     | 104
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 104
tcp.ssn_from_pool                                            | Total                     | 104
tcp.segment_from_pool                                        | Total                     | 40
detect.alert                                                 | Total                     | 9
detect.alerts_suppressed                                     | Total                     | 103
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 106
flow.mgr.flows_notimeout                                     | Total                     | 106
memcap_pressure                                              | Total                     | 7
memcap_pressure_max                                          | Total                     | 7
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 999424
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 17:07:14 (uptime: 0d, 00h 00m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 404
capture.afpacket.polls                                       | Total                     | 3298
capture.afpacket.poll_timeout                                | Total                     | 3074
capture.afpacket.poll_data                                   | Total                     | 224
decoder.pkts                                                 | Total                     | 404
decoder.bytes                                                | Total                     | 28724
decoder.ipv4                                                 | Total                     | 390
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 404
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 390
tcp.syn                                                      | Total                     | 104
tcp.synack                                                   | Total                     | 40
tcp.rst                                                      | Total                     | 105
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 71
decoder.max_pkt_size                                         | Total                     | 150
tcp.active_sessions                                          | Total                     | 104
flow.total                                                   | Total                     | 106
flow.active                                                  | Total                     | 104
flow.tcp                                                     | Total                     | 104
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 104
tcp.ssn_from_pool                                            | Total                     | 104
tcp.segment_from_pool                                        | Total                     | 40
detect.alert                                                 | Total                     | 9
detect.alerts_suppressed                                     | Total                     | 103
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9202
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 108
flow.mgr.flows_notimeout                                     | Total                     | 106
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap_pressure                                              | Total                     | 7
memcap_pressure_max                                          | Total                     | 7
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 999424
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 17:07:22 (uptime: 0d, 00h 00m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 404
capture.afpacket.polls                                       | Total                     | 3778
capture.afpacket.poll_timeout                                | Total                     | 3554
capture.afpacket.poll_data                                   | Total                     | 224
decoder.pkts                                                 | Total                     | 404
decoder.bytes                                                | Total                     | 28724
decoder.ipv4                                                 | Total                     | 390
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 404
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 390
tcp.syn                                                      | Total                     | 104
tcp.synack                                                   | Total                     | 40
tcp.rst                                                      | Total                     | 105
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 71
decoder.max_pkt_size                                         | Total                     | 150
tcp.active_sessions                                          | Total                     | 104
flow.total                                                   | Total                     | 106
flow.active                                                  | Total                     | 104
flow.tcp                                                     | Total                     | 104
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 104
tcp.ssn_from_pool                                            | Total                     | 104
tcp.segment_from_pool                                        | Total                     | 40
detect.alert                                                 | Total                     | 9
detect.alerts_suppressed                                     | Total                     | 103
flow.end.state.new                                           | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9202
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 108
flow.mgr.flows_notimeout                                     | Total                     | 106
flow.mgr.flows_timeout                                       | Total                     | 2
flow.mgr.flows_evicted                                       | Total                     | 2
memcap_pressure                                              | Total                     | 7
memcap_pressure_max                                          | Total                     | 7
flow.recycler.recycled                                       | Total                     | 2
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 999424
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 8/11/2026 -- 17:07:30 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 404
capture.afpacket.polls                                       | Total                     | 4498
capture.afpacket.poll_timeout                                | Total                     | 4274
capture.afpacket.poll_data                                   | Total                     | 224
decoder.pkts                                                 | Total                     | 404
decoder.bytes                                                | Total                     | 28724
decoder.ipv4                                                 | Total                     | 390
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 404
decoder.arp                                                  | Total                     | 6
decoder.tcp                                                  | Total                     | 390
tcp.syn                                                      | Total                     | 104
tcp.synack                                                   | Total                     | 40
tcp.rst                                                      | Total                     | 105
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 71
